Infomación espacial de variables ambientales,,,,,,,,
Tipo,,ID,Región,Descripción,Resolución espacial,Pagina web,Documentacion,
Clima,1,EarthEnv,Global,Global 1-km Cloud Cover,1 km,http://www.earthenv.org/cloud,http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1002415,
,2,Clima,Sudamérica,Bioclim variables for Southern South America,,https://www.unil.ch/ecospat/home/menuguid/ecospat-resources/data.html,,
,3,CGIARCSI,Global,CRU-TS v3.10.01 Historic Climate Database for GIS,,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,CRU-TS v3.10.01,
,4,CGIARCSI,Global,Global Aridity and PET Database,,http://www.cgiar-csi.org/data/global-aridity-and-pet-database,Ver sección de documentación de la pagina,
,6,CCAFS-Climate,Global,Clima a futuro CMPI5,,http://ccafs-climate.org/,https://www.nature.com/articles/s41597-019-0343-8,
,7,ClimateSA:,América del sur,"Historical and projected climate data for Mexico, Central and South America",,https://sites.ualberta.ca/~ahamann/data/climatesa.html,https://www.sciencedirect.com/science/article/pii/S0304380014002713,
,8,Clima,México,Clima Mexico,,http://idrisi.uaemex.mx/,http://onlinelibrary.wiley.com/doi/10.1002/joc.3848/abstract,
,9,Clima,Global,MERRAclim,,http://datadryad.org/resource/doi:10.5061/dryad.s2v81,https://www.nature.com/articles/sdata201778,
,10,Clima NA,Norte América,Current and projected climate data for North America (CMIP5 scenarios),,https://adaptwest.databasin.org/pages/adaptwest-climatena,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0156720,
,11,Clima,Norte América,Clima diario DayMet,,https://daymet.ornl.gov/,https://daac.ornl.gov/DAYMET/guides/Daymet_V3_CFMosaics.html#citation,
,12,TerraClimate,Global,Clima Anual,,http://www.climatologylab.org/terraclimate.html,https://www.nature.com/articles/sdata2017191,
,13,Chelsa,Global,Climatología,,http://chelsa-climate.org/,,
,14,WC v.2 ,Global,Climatología,,www.worldclim.org,http://onlinelibrary.wiley.com/doi/10.1002/joc.5086/full,
,15,WC v.1,Global,Climatología,,www.worldclim.org,http://onlinelibrary.wiley.com/doi/10.1002/joc.1276/abstract,
,16,PRISM,USA,Climatología,,http://prism.oregonstate.edu/,http://prism.oregonstate.edu/documents/,
,17,Climond,Global,Climatología,,https://www.climond.org/,,
,18,microClim,Global,Microclimas,,https://figshare.com/collections/microclim_Global_estimates_of_hourly_microclimate_based_on_long_term_monthly_climate_averages/878253,https://www.nature.com/articles/sdata20146,
,19,GIDMaPS,Global,Global Integrated Drought Monitoring and Prediction System,,https://figshare.com/collections/Global_Integrated_Drought_Monitoring_and_Prediction_System_GIDMaPS_Data_Sets/853801,https://www.nature.com/articles/sdata20141,
,20,CHIRPS,Global,Climate Hazards Group InfraRed Precipitation with Station data,,ftp://ftp.chg.ucsb.edu/pub/org/chg/products/CHIRPS-2.0,https://www.nature.com/articles/sdata201566,
,21,Köppen-Geiger climate,Global,Present and future Köppen-Geiger climate,,http://www.gloh2o.org/koppen/,https://doi.org/10.1038/sdata.2018.214,
,22,NHC.NOAA,,Huracanes,,https://www.nhc.noaa.gov/,,
,23,EnviDat,Global,High-resolution monthly precipitation and temperature time series from 2006 to 2100,,https://www.envidat.ch/#/metadata/chelsa_cmip5_ts,https://www.nature.com/articles/s41597-020-00587-y.pdf,
,24,Active Fire Data,Global,,,https://firms.modaps.eosdis.nasa.gov/active_fire/,,
,25,BrazilClim,Brazil,,,,https://www.researchgate.net/publication/353648411_BrazilClim_The_overcoming_of_limitations_of_preexisting_bioclimate_data?fbclid=IwAR3-QMDTOqL4MToWx0W70EVSvu6576bkRnF-sPyErML42_UTPEok4KaAq-Y,
,26,ENVIREM,Global,Climatología (más variables bioclimaticas),,http://onlinelibrary.wiley.com/doi/10.1111/ecog.02880/abstract,,
,27,Copernicus Climate Data Store,Global,"Climas para varios periodos, REA analisis + variables diferentes a WC",,https://cds.climate.copernicus.eu/cdsapp#!/search?type=dataset&text=biodiversity,,
,28,Global Aridity Index & Potential Evapotranspiration,Global,Version 3 of the Global Aridity Index and Potential Evapotranspiration Database,,https://www.nature.com/articles/s41597-022-01493-1#data-availability,https://www.nature.com/articles/s41597-022-01493-1,
,29,Sequía,Global,Global Future Drought Layers (CMPI6),,,https://www.nature.com/articles/s41597-025-04612-w,
,30,MexHiResClimDB,MÉXICO,,,https://essd.copernicus.org/articles/17/6911/2025/,,
,,rainfall erosivity database,MÉXICO,,,https://essd.copernicus.org/preprints/essd-2025-306/,,
,31,Future aridity index & PET,Global,CMIP6-based global estimates of future aridity index and potential evapotranspiration for 2021-2060,,https://open-research-europe.ec.europa.eu/articles/4-157/v1,,
Paleoclimas,1,Clima,Norte América,"Downscaled and debiased climate simulations for North America from 21,000 years ago to 2100AD",,http://datadryad.org/resource/doi:10.5061/dryad.1597g,http://www.nature.com/articles/sdata201648,
,2,Ecoclimate,Global,Paleoclimatología,,www.ecoclimate.org,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0129037,
,3,PaleoClim,Global,Paleoclimatología,,http://paleoclim.org/,https://www.nature.com/articles/sdata2018254,
,4,Clima pasado a futuro,Norte América,"Downscaled and debiased climate simulations for North America from 21,000 years ago to 2100AD",0.5 grados,https://datadryad.org/stash/dataset/doi:10.5061/dryad.1597g,https://www.nature.com/articles/sdata201648.pdf,
,5,"PAGES2k Global 2,000",,Holocene global mean surface temperature,,https://www.ncdc.noaa.gov/paleo-search/study/29712,http://www.nature.com/articles/s41597-020-0530-7,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Suelo,1,Soil Grids,Global,Suelo,,https://www.isric.org/explore/soilgrids,,
,2,CGIARCSI,Global,Global High-Resolution Soil-Water Balance,,http://www.cgiar-csi.org/data/global-high-resolution-soil-water-balance,Ver sección de documentación de la pagina,
,3,Suelo,Global,ISRIC Soil Data Hub,,http://www.isric.org/explore,,
,4,Suelo,Mexico,Mexican soil properties,,http://www.sciencedirect.com/science/article/pii/S0016706113002504,Contactar a primer autor,
,5,Pesticidas,Global,PEST-CHEMGRIDS,,https://www.nature.com/articles/s41597-019-0169-4,,
,6,Temperatura,Global,Global maps of soil temperature,,https://ecoevorxiv.org/pksqw,.,
,7,Global Rainfall Erosivity,Global,Global Rainfall Erosivity,,https://esdac.jrc.ec.europa.eu/content/global-rainfall-erosivity,,
,8,Global Soil Biodiversity Atlas Maps ,Global,,,https://esdac.jrc.ec.europa.eu/content/global-soil-biodiversity-maps-0,.,
,9,Global Landform classification ,Global,,,https://esdac.jrc.ec.europa.eu/content/global-landform-classification,,
,10,Global Soil Organic Carbon Estimates ,Global,Global Soil Organic Carbon Estimates ,,https://esdac.jrc.ec.europa.eu/content/global-soil-organic-carbon-estimates,.,
,11,Global Spatial Layers for Estimating Soil GHG Emissions from Indirect Land Use Changes(ILUC) due to the Production of Biofuels ,Global,Global Spatial Layers for Estimating Soil GHG Emissions from Indirect Land Use Changes(ILUC) due to the Production of Biofuels ,,https://esdac.jrc.ec.europa.eu/content/global-spatial-layers-estimating-soil-ghg-emissions-indirect-land-use-changesiluc-due,.,
,12,Land degradation in global arable lands ,Global,,,https://esdac.jrc.ec.europa.eu/content/land-degradation-global-arable-lands,,
,13,Global phosphorus losses due to soil erosion ,Global,Global phosphorus losses due to soil erosion,,https://esdac.jrc.ec.europa.eu/content/global-phosphorus-losses-due-soil-erosion,,
,14,Global soil erosion by water in 2070 ,Global,,,https://esdac.jrc.ec.europa.eu/content/global-soil-erosion-water-2070,,
,15,Global Soil Erosion ,Global,Global Soil Erosion ,,https://esdac.jrc.ec.europa.eu/content/global-soil-erosion,,
,16,NatureMap Priority-Carbon,Global,Captura de carbono,,http://pure.iiasa.ac.at/id/eprint/17537/,,
,17,GCAM,Global,Global land use for 2015–2100,,https://data.pnnl.gov/group/nodes/dataset/13192,https://www.nature.com/articles/s41597-020-00669-x,
Topograficas,1,EarthEnv-DEM,Global,EarthEnv-DEM90 digital elevation model,,http://www.earthenv.org/DEM,https://www.nature.com/articles/sdata201840,
